user_id,employment_type,income_range,city_tier,bank_account_age_months,num_bank_accounts,monthly_income,rent_paid_on_time,utility_delay_days,upi_txn_count,avg_month_end_balance,overdraft_event,alt_credit_score
1,salaried,25000-80000,3,112,1,54396.25,0.9166666667,2.583333333,87.91666667,13916.91667,0,78
2,salaried,25000-80000,2,92,3,59157.66667,1,2.5,92.83333333,16170.83333,0,83.67
3,salaried,25000-80000,1,109,3,19450.08333,1,1.833333333,84.08333333,19116.75,1,87.28
4,student,0-15000,3,113,2,29009.5,0.9166666667,3.333333333,70.16666667,17194.58333,0,80.53
5,salaried,25000-80000,1,26,1,32410.33333,1,2.25,103.0833333,13028.33333,0,80.78
6,salaried,25000-80000,2,113,1,33160.91667,1,1.583333333,97.33333333,17023.25,0,85.44
7,salaried,25000-80000,2,47,3,10158.25,0.9166666667,3.166666667,100.5833333,16918,0,80.42
8,salaried,25000-80000,3,56,3,17753.08333,0.9166666667,2.25,73.33333333,17907.08333,0,82.32
9,self_employed,20000-100000,2,106,3,44092.08333,0.6666666667,5.75,79.75,15985.66667,0,66.9
10,gig,10000-30000,2,23,1,31391.5,0.9166666667,4.333333333,80.16666667,14849.83333,0,77.18
11,self_employed,20000-100000,3,14,2,38489.5,0.6666666667,4.416666667,87.91666667,12661.91667,0,64.91
12,student,0-15000,2,116,3,40812.83333,0.9166666667,3.333333333,98.25,16783.33333,0,80.12
13,gig,10000-30000,3,40,2,57296.5,0.8333333333,3.416666667,67.66666667,20767.5,0,80.68
14,salaried,25000-80000,1,9,2,37534.08333,1,1.5,67,14662.66667,0,83.16
15,salaried,25000-80000,1,9,2,12463.41667,0.9166666667,3.666666667,93.83333333,13516.25,1,76.52
16,student,0-15000,3,49,2,10450.91667,0.8333333333,3.083333333,92.58333333,12400.33333,2,72.65
17,salaried,25000-80000,3,100,3,39170.91667,1,2.5,79.58333333,16831.08333,0,84.33
18,student,0-15000,1,67,1,46920,0.9166666667,2.666666667,84.33333333,14232.66667,0,78.23
19,salaried,25000-80000,1,58,2,25498.5,0.9166666667,4,79.83333333,16551.16667,2,79.22
20,self_employed,20000-100000,2,114,1,16659.16667,0.75,4,88.83333333,17275.83333,0,73.28
21,salaried,25000-80000,1,94,3,20405.91667,0.75,5.5,74.75,18742.41667,0,73.24
22,salaried,25000-80000,1,13,3,43458.75,1,1.666666667,87.25,15323.16667,0,83.66
23,gig,10000-30000,2,40,3,50029.5,1,2.25,74.5,15305.91667,1,83.06
24,gig,10000-30000,1,108,2,24462.83333,0.9166666667,3.583333333,74.16666667,10406.58333,0,73.49
25,student,0-15000,3,77,2,39534.25,0.9166666667,2.5,83.08333333,16179.75,0,80.35
